"文件","行数","类别","扩展名","符号数","主要作用"
"lib/chat/tool-executor.ts","292","聊天路由、上下文、工具与历史",".ts","28","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/tool-planner.ts","421","聊天路由、上下文、工具与历史",".ts","17","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/tool-registry.ts","240","聊天路由、上下文、工具与历史",".ts","13","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/types.ts","15","聊天路由、上下文、工具与历史",".ts","4","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/use-chat-history.ts","396","聊天路由、上下文、工具与历史",".ts","36","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/visual-policy.ts","79","聊天路由、上下文、工具与历史",".ts","6","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/workspace-cloud-sync.ts","61","聊天路由、上下文、工具与历史",".ts","8","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/workspace.ts","232","聊天路由、上下文、工具与历史",".ts","21","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/desktop/connection.ts","561","桌面本地连接器",".ts","38","该文件属于“桌面本地连接器”模块"
"lib/documents/constants.ts","7","通用文档解析",".ts","0","该文件属于“通用文档解析”模块"
"lib/documents/formats/pdf.ts","80","通用文档解析",".ts","10","该文件属于“通用文档解析”模块"
"lib/documents/parser.ts","206","通用文档解析",".ts","23","该文件属于“通用文档解析”模块"
"lib/documents/prompt.ts","76","通用文档解析",".ts","6","该文件属于“通用文档解析”模块"
"lib/documents/truncate.ts","36","通用文档解析",".ts","2","该文件属于“通用文档解析”模块"
"lib/documents/types.ts","9","通用文档解析",".ts","1","该文件属于“通用文档解析”模块"
"lib/export/artifact-boundary.ts","217","文件规划、校验、导出与存储",".ts","18","该文件属于“文件规划、校验、导出与存储”模块"
"lib/export/artifact-planner.ts","180","文件规划、校验、导出与存储",".ts","18","该文件属于“文件规划、校验、导出与存储”模块"
