"文件","行数","类别","扩展名","符号数","主要作用"
"lib/literature/server/review-matrix-xlsx.ts","76","文献服务端业务",".ts","10","该文件属于“文献服务端业务”模块"
"lib/literature/server/review-papers.ts","85","文献服务端业务",".ts","11","该文件属于“文献服务端业务”模块"
"lib/literature/server/review-parse.ts","193","文献服务端业务",".ts","15","该文件属于“文献服务端业务”模块"
"lib/literature/server/review-pptx.ts","948","文献服务端业务",".ts","40","该文件属于“文献服务端业务”模块"
"lib/literature/server/review-service.ts","671","文献服务端业务",".ts","37","该文件属于“文献服务端业务”模块"
"lib/literature/server/search-debug.ts","38","文献服务端业务",".ts","5","该文件属于“文献服务端业务”模块"
"lib/literature/server/workspace-service.ts","607","文献服务端业务",".ts","29","该文件属于“文献服务端业务”模块"
"lib/literature/source-taxonomy.ts","560","文献客户端、类型与领域逻辑",".ts","38","该文件属于“文献客户端、类型与领域逻辑”模块"
"lib/literature/types.ts","252","文献客户端、类型与领域逻辑",".ts","24","该文件属于“文献客户端、类型与领域逻辑”模块"
"lib/literature/ui-strings.ts","19","文献客户端、类型与领域逻辑",".ts","4","该文件属于“文献客户端、类型与领域逻辑”模块"
"lib/presentation/templates.ts","41","演示文稿模板",".ts","4","该文件属于“演示文稿模板”模块"
"lib/supabase/bearer-client.ts","21","Supabase认证与数据库连接",".ts","3","该文件属于“Supabase认证与数据库连接”模块"
"lib/supabase/client.ts","12","Supabase认证与数据库连接",".ts","4","该文件属于“Supabase认证与数据库连接”模块"
"lib/supabase/database.types.ts","100","Supabase认证与数据库连接",".ts","2","该文件属于“Supabase认证与数据库连接”模块"
"lib/supabase/env.ts","20","Supabase认证与数据库连接",".ts","2","该文件属于“Supabase认证与数据库连接”模块"
"lib/supabase/middleware.ts","50","Supabase认证与数据库连接",".ts","8","该文件属于“Supabase认证与数据库连接”模块"
"lib/supabase/server.ts","29","Supabase认证与数据库连接",".ts","7","该文件属于“Supabase认证与数据库连接”模块"
"lib/text/mojibake.ts","50","项目配置",".ts","4","该文件属于“项目配置”模块"
"lib/translation/batch.ts","39","DOCX翻译流程",".ts","5","该文件属于“DOCX翻译流程”模块"
"lib/translation/client.ts","167","DOCX翻译流程",".ts","9","该文件属于“DOCX翻译流程”模块"
"lib/translation/constants.ts","43","DOCX翻译流程",".ts","0","该文件属于“DOCX翻译流程”模块"
"lib/translation/docx-build.ts","73","DOCX翻译流程",".ts","8","该文件属于“DOCX翻译流程”模块"
"lib/translation/docx-parse.ts","136","DOCX翻译流程",".ts","9","该文件属于“DOCX翻译流程”模块"
"lib/translation/docx-xml.ts","78","DOCX翻译流程",".ts","6","该文件属于“DOCX翻译流程”模块"
"lib/translation/errors.ts","10","DOCX翻译流程",".ts","1","该文件属于“DOCX翻译流程”模块"
"lib/translation/pipeline.ts","123","DOCX翻译流程",".ts","10","该文件属于“DOCX翻译流程”模块"
"lib/translation/prompts.ts","68","DOCX翻译流程",".ts","6","该文件属于“DOCX翻译流程”模块"
"lib/translation/skip-rules.ts","57","DOCX翻译流程",".ts","2","该文件属于“DOCX翻译流程”模块"
"lib/translation/translate-service.ts","199","DOCX翻译流程",".ts","12","该文件属于“DOCX翻译流程”模块"
"lib/translation/types.ts","66","DOCX翻译流程",".ts","10","该文件属于“DOCX翻译流程”模块"
"lib/uploads/client-attachments.ts","130","上传文件校验与存储",".ts","13","该文件属于“上传文件校验与存储”模块"
"lib/uploads/constants.ts","180","上传文件校验与存储",".ts","16","该文件属于“上传文件校验与存储”模块"
"lib/uploads/errors.ts","38","上传文件校验与存储",".ts","2","该文件属于“上传文件校验与存储”模块"
"lib/uploads/storage-client.ts","82","上传文件校验与存储",".ts","8","该文件属于“上传文件校验与存储”模块"
"lib/uploads/storage-constants.ts","2","上传文件校验与存储",".ts","0","该文件属于“上传文件校验与存储”模块"
"lib/uploads/storage-server.ts","137","上传文件校验与存储",".ts","11","该文件属于“上传文件校验与存储”模块"
"lib/uploads/types.ts","14","上传文件校验与存储",".ts","2","该文件属于“上传文件校验与存储”模块"
"middleware.ts","24","认证与请求中间件",".ts","5","该文件属于“认证与请求中间件”模块"
"next-env.d.ts","7","项目配置",".ts","1","该文件属于“项目配置”模块"
"next.config.ts","8","项目配置",".ts","3","该文件属于“项目配置”模块"
"package.json","98","项目配置",".json","0","该文件属于“项目配置”模块"
"postcss.config.mjs","8","项目配置",".mjs","2","该文件属于“项目配置”模块"
"PROJECT_STATUS.md","45","项目资源",".md","0","该文件属于“项目资源”模块"
"public/downloads/README.md","15","项目资源",".md","0","该文件属于“项目资源”模块"
"README.md","37","项目资源",".md","0","该文件属于“项目资源”模块"
"scripts/check-encoding.mjs","97","开发与回归脚本",".mjs","6","该文件属于“开发与回归脚本”模块"
"scripts/generate-code-audit.mjs","304","开发与回归脚本",".mjs","17","该文件属于“开发与回归脚本”模块"
"scripts/test-attachment-upload.ts","73","开发与回归脚本",".ts","3","该文件属于“开发与回归脚本”模块"
"scripts/verify-artifact-generators.ts","83","开发与回归脚本",".ts","8","该文件属于“开发与回归脚本”模块"
"scripts/verify-library-commands.mjs","59","开发与回归脚本",".mjs","2","该文件属于“开发与回归脚本”模块"
"scripts/verify-word-visuals.cjs","402","开发与回归脚本",".cjs","15","该文件属于“开发与回归脚本”模块"
"supabase/migrations/001_chat_history.sql","129","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/002_chat_attachments_storage.sql","39","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/003_literature_tracker.sql","84","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/004_literature_source_taxonomy.sql","24","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/005_literature_folders.sql","83","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/006_literature_paper_workspace.sql","7","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/007_literature_folder_nesting.sql","20","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/008_literature_pdf_archive.sql","66","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/009_literature_figure_evidence.sql","7","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/010_ai_usage_events.sql","40","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/011_research_workspace.sql","50","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"supabase/migrations/012_document_generation_observability.sql","82","数据库迁移",".sql","0","该文件属于“数据库迁移”模块"
"tsconfig.json","35","项目配置",".json","0","该文件属于“项目配置”模块"
